Antelope Valley 2011                        	 -119.527000 	 38.593000 	 38.000000 	 0.000000 	 -0.000350 	 0.000350 	 0.000450 	 0.000100 	 0.000800 	 0.000279 	 -0.000140 	 -0.000419 	 -0.000218 	 0.000109 	 0.000327 	 -0.000218 	 0.000109 	 0.000327 	 0.000171 	 -0.000085 	 -0.000256 
Ash Hill                                    	 -117.418900 	 36.282900 	 355.000000 	 -0.000300 	 -0.000400 	 -0.000200 	 -0.000000 	 -0.000100 	 0.000100 	 0.000026 	 0.000017 	 0.000035 	 0.000002 	 0.000002 	 0.000003 	 -0.000298 	 -0.000198 	 -0.000397 	 -0.000026 	 -0.000017 	 -0.000035 
Ash Hill                                    	 -117.369500 	 36.161200 	 340.000000 	 -0.000450 	 -0.000500 	 -0.000400 	 -0.000000 	 -0.000050 	 0.000050 	 0.000145 	 0.000129 	 0.000161 	 0.000053 	 0.000047 	 0.000058 	 -0.000397 	 -0.000353 	 -0.000442 	 -0.000145 	 -0.000129 	 -0.000161 
Battle Creek 2011 CFM                       	 -121.990000 	 40.440000 	 75.000000 	 0.000000 	 -0.000039 	 0.000039 	 -0.000021 	 -0.000060 	 0.000018 	 -0.000001 	 0.000001 	 0.000002 	 0.000005 	 -0.000003 	 -0.000008 	 0.000005 	 -0.000003 	 -0.000008 	 -0.000020 	 0.000010 	 0.000030 
Big Lagoon - Bald Mountain 2011 CFM         	 -124.092000 	 41.190000 	 337.000000 	 0.000000 	 -0.000100 	 0.000130 	 -0.000451 	 -0.000551 	 -0.000321 	 -0.000382 	 0.000312 	 0.000472 	 -0.000162 	 0.000133 	 0.000200 	 -0.000162 	 0.000133 	 0.000200 	 -0.000069 	 0.000056 	 0.000085 
Blackwater fault                            	 -117.200800 	 35.206900 	 323.000000 	 -0.000490 	 -0.000530 	 -0.000450 	 -0.000000 	 -0.000040 	 0.000040 	 0.000236 	 0.000216 	 0.000255 	 0.000177 	 0.000163 	 0.000192 	 -0.000313 	 -0.000287 	 -0.000338 	 -0.000236 	 -0.000216 	 -0.000255 
Breckenridge 2011                           	 -118.545000 	 35.431000 	 3.000000 	 0.000000 	 -0.000050 	 0.000050 	 0.000050 	 0.000000 	 0.000100 	 0.000050 	 -0.000025 	 -0.000075 	 -0.000003 	 0.000001 	 0.000004 	 -0.000003 	 0.000001 	 0.000004 	 0.000000 	 -0.000000 	 -0.000000 
Calaveras (Central) 2011 CFM                	 -121.492400 	 37.022600 	 330.000000 	 -0.014000 	 -0.019000 	 -0.009000 	 -0.000000 	 -0.005000 	 0.005000 	 0.006062 	 0.003897 	 0.008227 	 0.003500 	 0.002250 	 0.004750 	 -0.010500 	 -0.006750 	 -0.014250 	 -0.006062 	 -0.003897 	 -0.008227 
Calaveras (No) 2011 CFM                     	 -121.850100 	 37.534600 	 330.000000 	 -0.005500 	 -0.008000 	 -0.003000 	 -0.000000 	 -0.002500 	 0.002500 	 0.002382 	 0.001299 	 0.003464 	 0.001375 	 0.000750 	 0.002000 	 -0.004125 	 -0.002250 	 -0.006000 	 -0.002382 	 -0.001299 	 -0.003464 
Calaveras (No) 2011 CFM                     	 -121.850100 	 37.534600 	 330.000000 	 -0.005500 	 -0.006000 	 -0.005000 	 -0.000000 	 -0.000500 	 0.000500 	 0.002382 	 0.002165 	 0.002598 	 0.001375 	 0.001250 	 0.001500 	 -0.004125 	 -0.003750 	 -0.004500 	 -0.002382 	 -0.002165 	 -0.002598 
Calaveras (No) 2011 CFM                     	 -121.833300 	 37.511300 	 8.000000 	 -0.005000 	 -0.007000 	 -0.003000 	 -0.000000 	 -0.002000 	 0.002000 	 -0.000689 	 -0.000413 	 -0.000965 	 0.000097 	 0.000058 	 0.000136 	 -0.004903 	 -0.002942 	 -0.006864 	 0.000689 	 0.000413 	 0.000965 
Calico-Hidalgo                              	 -116.602000 	 34.750000 	 315.000000 	 -0.001400 	 -0.001800 	 -0.001000 	 -0.000000 	 -0.000400 	 0.000400 	 0.000700 	 0.000500 	 0.000900 	 0.000700 	 0.000500 	 0.000900 	 -0.000700 	 -0.000500 	 -0.000900 	 -0.000700 	 -0.000500 	 -0.000900 
Calico-Hidalgo                              	 -116.602000 	 34.750000 	 315.000000 	 -0.001800 	 -0.002100 	 -0.001000 	 -0.000000 	 -0.000300 	 0.000800 	 0.000900 	 0.000750 	 0.001300 	 0.000900 	 0.000750 	 0.001300 	 -0.000900 	 -0.000750 	 -0.001300 	 -0.000900 	 -0.000750 	 -0.001300 
Carson Range (Genoa)                        	 -119.822600 	 38.777200 	 328.000000 	 0.000000 	 -0.000500 	 0.000500 	 0.000643 	 0.000143 	 0.001143 	 0.000462 	 -0.000231 	 -0.000693 	 0.000289 	 -0.000144 	 -0.000433 	 0.000289 	 -0.000144 	 -0.000433 	 0.000181 	 -0.000090 	 -0.000271 
Carson Range (Genoa)                        	 -119.843300 	 39.059700 	 338.000000 	 0.000000 	 -0.000500 	 0.000500 	 0.001607 	 0.001107 	 0.002107 	 0.001381 	 -0.001105 	 -0.001658 	 0.000558 	 -0.000447 	 -0.000670 	 0.000558 	 -0.000447 	 -0.000670 	 0.000226 	 -0.000180 	 -0.000271 
Carson Range (Genoa)                        	 -119.835300 	 38.983600 	 347.000000 	 0.000000 	 -0.000500 	 0.000500 	 0.001607 	 0.001107 	 0.002107 	 0.001526 	 -0.001221 	 -0.001831 	 0.000352 	 -0.000282 	 -0.000423 	 0.000352 	 -0.000282 	 -0.000423 	 0.000081 	 -0.000065 	 -0.000098 
Carson Range (Genoa)                        	 -119.822600 	 38.777200 	 328.000000 	 0.000000 	 -0.000250 	 0.000250 	 0.000354 	 0.000104 	 0.000604 	 0.000254 	 -0.000139 	 -0.000370 	 0.000159 	 -0.000087 	 -0.000231 	 0.000159 	 -0.000087 	 -0.000231 	 0.000099 	 -0.000054 	 -0.000144 
Cleghorn                                    	 -117.370000 	 34.288000 	 268.000000 	 0.000450 	 0.000300 	 0.000600 	 -0.000000 	 -0.000150 	 0.000150 	 0.000016 	 0.000010 	 0.000021 	 -0.000449 	 -0.000300 	 -0.000599 	 0.000001 	 0.000000 	 0.000001 	 -0.000016 	 -0.000010 	 -0.000021 
Concord 2011 CFM                            	 -122.032000 	 37.965700 	 333.000000 	 -0.003400 	 -0.003700 	 -0.003100 	 -0.000000 	 -0.000300 	 0.000300 	 0.001375 	 0.001254 	 0.001497 	 0.000701 	 0.000639 	 0.000763 	 -0.002699 	 -0.002461 	 -0.002937 	 -0.001375 	 -0.001254 	 -0.001497 
Cucamonga                                   	 -117.532000 	 34.167800 	 274.000000 	 0.000000 	 -0.000100 	 0.000100 	 -0.000778 	 -0.000878 	 -0.000678 	 -0.000004 	 0.000003 	 0.000004 	 -0.000054 	 0.000049 	 0.000059 	 -0.000054 	 0.000049 	 0.000059 	 -0.000774 	 0.000704 	 0.000844 
Death Valley (Black Mts Frontal)            	 -116.733200 	 36.074800 	 38.000000 	 -0.001732 	 -0.002732 	 -0.000732 	 0.000500 	 -0.000500 	 0.001500 	 -0.000530 	 -0.000575 	 -0.001726 	 0.000414 	 0.000450 	 0.001349 	 -0.001318 	 -0.000416 	 -0.001249 	 0.001030 	 0.000325 	 0.000976 
