Fault Model FM3.1																					
FID	minisection	Name	ELon1	NLat1	ELon2	NLat2	CREEPS?	ABM slip rate	ABM rake	NeoKinema slip rate	NeoKinema rake	NeoKinema dip	Zeng slip rate	Zeng rake	Geologic rate (mm/yr)	Geologic lower bound (mm/yr)	Geologic upper bound (mm/yr)	Geo rake	Geo dip	Geo dip dir	
9	9.01	Ortigalita (South)	-121.1429	37.1081	-121.1380	37.0340	F	3.43	153.5	0.40	180.0	90	1.21	-161.3	1.50	0.50	2.50	180.0	90	241.97	
9	9.02	Ortigalita (South)	-121.1380	37.0340	-121.0114	36.9071	F	3.33	134.1	0.40	180.0	90	1.21	-161.3	1.50	0.50	2.50	180.0	90	241.97	
9	9.03	Ortigalita (South)	-121.0114	36.9071	-120.9036	36.7940	F	3.23	133.0	0.40	180.0	90	1.21	-161.3	1.50	0.50	2.50	180.0	90	241.97	
9	9.04	Ortigalita (South)	-120.9036	36.7940	-120.8229	36.6252	F	1.72	180.0	0.40	180.0	90	1.21	-161.3	1.50	0.50	2.50	180.0	90	241.97	
11	11.01	Monterey Bay-Tularcitos	-121.5031	36.3576	-121.5957	36.4002	F	0.39	137.5	1.73	107.8	20	0.41	149.0	0.39	0.20	1.00	150.0	90	48.8	
11	11.02	Monterey Bay-Tularcitos	-121.5957	36.4002	-121.6489	36.4387	F	0.37	142.8	1.73	107.8	20	0.41	149.0	0.39	0.20	1.00	150.0	90	48.8	
11	11.03	Monterey Bay-Tularcitos	-121.6489	36.4387	-121.7353	36.4693	F	0.32	144.6	1.73	107.8	20	0.41	149.0	0.39	0.20	1.00	150.0	90	48.8	
11	11.04	Monterey Bay-Tularcitos	-121.7353	36.4693	-121.8656	36.5850	F	0.23	144.3	1.73	107.8	20	0.41	149.0	0.39	0.20	1.00	150.0	90	48.8	
11	11.05	Monterey Bay-Tularcitos	-121.8656	36.5850	-122.0105	36.8136	F	0.20	150.0	1.73	107.8	20	0.41	149.0	0.39	0.20	1.00	150.0	90	48.8	
11	11.06	Monterey Bay-Tularcitos	-122.0105	36.8136	-122.1222	36.9213	F	0.35	159.7	1.73	107.8	20	0.41	149.0	0.39	0.20	1.00	150.0	90	48.8	
13	13.01	Mendocino	-124.3434	40.2067	-124.4119	40.2622	F	15.30	167.6	8.03	180.0	90	35.60	180.0	35.00	30.00	40.00	180.0	90	8.19	
13	13.02	Mendocino	-124.4119	40.2622	-124.6960	40.3717	F	13.61	153.1	8.03	180.0	90	35.60	180.0	35.00	30.00	40.00	180.0	90	8.19	
13	13.03	Mendocino	-124.6960	40.3717	-125.3541	40.3991	T	17.20	180.0	48.81	180.0	90	35.60	180.0	35.00	30.00	40.00	180.0	90	8.19	
13	13.04	Mendocino	-125.3541	40.3991	-125.8410	40.4151	T	48.13	180.0	48.81	180.0	90	35.60	180.0	35.00	30.00	40.00	180.0	90	8.19	
13	13.05	Mendocino	-125.8410	40.4151	-126.3812	40.4122	T	47.87	180.0	48.81	180.0	90	35.60	180.0	35.00	30.00	40.00	180.0	90	8.19	
15	15.01	Table Bluff	-124.1798	40.6478	-124.2820	40.6960	F	0.74	90.0	1.30	116.1	45	0.75	71.3	0.60	0.20	1.00	90.0	45	25.64	
15	15.02	Table Bluff	-124.2820	40.6960	-124.4750	40.6980	F	0.97	90.0	1.30	116.1	45	0.75	71.3	0.60	0.20	1.00	90.0	45	25.64	
15	15.03	Table Bluff	-124.4750	40.6980	-124.6790	40.8280	F	0.82	90.0	1.30	116.1	45	0.75	71.3	0.60	0.20	1.00	90.0	45	25.64	
16	16.01	Little Salmon (Offshore)	-124.2310	40.7640	-124.3520	40.7960	F	1.37	90.0	4.58	120.9	30	1.25	71.3	1.10	0.20	2.00	90.0	30	37.88	
16	16.02	Little Salmon (Offshore)	-124.3520	40.7960	-124.4750	40.9410	F	1.08	90.0	4.58	120.9	30	1.25	71.3	1.10	0.20	2.00	90.0	30	37.88	
16	16.03	Little Salmon (Offshore)	-124.4750	40.9410	-124.6410	41.0040	F	1.44	90.0	4.58	120.9	30	1.25	71.3	1.10	0.20	2.00	90.0	30	37.88	
17	17.01	Little Salmon (Onshore)	-123.9900	40.5340	-124.1040	40.5840	F	4.61	90.0	3.83	121.6	30	4.26	83.8	4.50	2.00	8.00	90.0	30	51.59	
17	17.02	Little Salmon (Onshore)	-124.1040	40.5840	-124.1780	40.6460	F	4.49	90.0	3.83	121.6	30	4.26	83.8	4.50	2.00	8.00	90.0	30	51.59	
