U3_Fault_Section				U3 Average Slip Rates (mm/yr)								U3 Average Aseismicity Factors								U3 Average Coupling Coefficient								U2 Fault Section			U2 Slip Rate (mm/yr)						U3 Creep	
U3_Section_Name	U3 Sect ID	Length (km)	Orig Area (km-sq)	FM3pt1_Zeng	FM3pt1_NeoKinema	FM3pt1_Geologic	FM3pt1_ABM	FM3pt2_Zeng	FM3pt2_NeoKinema	FM3pt2_Geologic	FM3pt2_ABM	FM3pt1_Zeng	FM3pt1_NeoKinema	FM3pt1_Geologic	FM3pt1_ABM	FM3pt2_Zeng	FM3pt2_NeoKinema	FM3pt2_Geologic	FM3pt2_ABM	FM3pt1_Zeng	FM3pt1_NeoKinema	FM3pt1_Geologic	FM3pt1_ABM	FM3pt2_Zeng	FM3pt2_NeoKinema	FM3pt2_Geologic	FM3pt2_ABM	U2 Section Name	Length (km)	Orig Area (km-sq)	DM2pt1	DM2pt2	DM2pt3	DM2pt4	DM2pt5	DM2pt6	Aseis	coupCoeff
Airport_Lake	861	47.22	801.28	4.74E-01	6.49E-01	3.90E-01	4.35E-01	5.35E-01	6.49E-01	3.90E-01	4.35E-01	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	null	null	null	null	null	null	null	null	null	null	null
Almanor_2011_CFM	667	34.57	345.73	2.25E+00	8.52E-01	2.00E+00	2.16E+00	2.07E+00	8.53E-01	2.00E+00	2.16E+00	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	null	null	null	null	null	null	null	null	null	null	null
Anacapa-Dume_alt_1	219	50.94	1116.64	4.96E-01	4.20E-01	3.90E-01	3.19E+00	null	null	null	null	0.10	0.10	0.10	0.10	null	null	null	null	1.00	1.00	1.00	1.00	null	null	null	null	"Anacapa-Dume, alt 1"	50.94	1116.64	3.00E+00	3.00E+00	3.00E+00	null	null	null	0.00	1.00
Anaheim	197	15.72	172.95	1.58E-01	1.00E-01	1.50E-01	6.12E-18	1.58E-01	1.16E-01	1.50E-01	6.12E-18	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	null	null	null	null	null	null	null	null	null	null	null
Antelope_Valley_2011	722	44.69	758.32	9.74E-01	1.89E+00	1.00E+00	1.02E+00	9.84E-01	1.90E+00	1.00E+00	1.02E+00	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	null	null	null	null	null	null	null	null	null	null	null
Ash_Hill	845	49.20	639.58	3.70E-01	9.16E-01	3.00E-01	3.48E-01	4.40E-01	9.30E-01	3.00E-01	3.48E-01	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	null	null	null	null	null	null	null	null	null	null	null
Baker	881	87.67	1139.71	3.16E-02	1.46E-01	1.00E-02	1.71E+00	2.24E-02	1.16E-01	1.00E-02	1.71E+00	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	null	null	null	null	null	null	null	null	null	null	null
Bartlett_Springs_2011_CFM	668	163.94	2377.19	7.54E+00	4.11E+00	4.00E+00	6.51E+00	7.27E+00	3.78E+00	4.00E+00	6.51E+00	0.10	0.22	0.22	0.13	0.11	0.22	0.22	0.13	1.00	0.96	0.96	1.00	1.00	0.96	0.96	1.00	Bartlett Springs	174.16	2612.37	6.00E+00	6.00E+00	6.00E+00	6.00E+00	6.00E+00	6.00E+00	0.50	1.00
Battle_Creek_2011_CFM	669	69.43	1422.83	8.54E-02	3.80E-02	1.00E-01	3.30E+00	6.32E-02	8.50E-02	1.00E-01	3.30E+00	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	Battle Creek	29.05	330.87	5.00E-01	5.00E-01	5.00E-01	5.00E-01	5.00E-01	5.00E-01	0.00	1.00
Bear_River_fault_zone	842	59.12	682.66	1.00E-01	3.42E+00	1.00E-02	1.48E-01	1.00E-01	3.52E+00	1.00E-02	1.48E-01	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	null	null	null	null	null	null	null	null	null	null	null
